,date,good_matches_day,bad_matches_day,good_rate,bad_rate,horizon
0,07-31,6,7,0.46153846153846156,0.5384615384615384,-1
1,08-01,132,139,0.4870848708487085,0.5129151291512916,-7
2,08-02,99,123,0.44594594594594594,0.5540540540540541,-24
3,08-03,124,231,0.3492957746478873,0.6507042253521127,-107
4,08-04,312,466,0.40102827763496146,0.5989717223650386,-154
5,08-05,41,67,0.37962962962962965,0.6203703703703703,-26
6,08-06,37,68,0.3523809523809524,0.6476190476190476,-31
7,08-07,130,186,0.41139240506329117,0.5886075949367089,-56
8,08-08,109,147,0.42578125,0.57421875,-38
9,08-09,113,106,0.5159817351598174,0.4840182648401826,7
10,08-10,93,159,0.36904761904761907,0.6309523809523809,-66
11,08-11,284,286,0.4982456140350877,0.5017543859649123,-2
12,08-12,51,67,0.4322033898305085,0.5677966101694916,-16
13,08-13,62,72,0.4626865671641791,0.5373134328358209,-10
14,08-14,166,120,0.5804195804195804,0.4195804195804196,46
15,08-15,97,146,0.3991769547325103,0.6008230452674898,-49
16,08-16,111,164,0.4036363636363636,0.5963636363636363,-53
17,08-17,183,167,0.5228571428571429,0.47714285714285715,16
18,08-18,122,131,0.48221343873517786,0.5177865612648221,-9
19,08-19,29,54,0.3493975903614458,0.6506024096385542,-25
20,08-20,23,34,0.40350877192982454,0.5964912280701754,-11
21,08-21,228,195,0.5390070921985816,0.46099290780141844,33
22,08-22,108,98,0.5242718446601942,0.47572815533980584,10
23,08-23,74,82,0.47435897435897434,0.5256410256410257,-8
24,08-24,117,134,0.46613545816733065,0.5338645418326693,-17
25,08-25,70,106,0.3977272727272727,0.6022727272727273,-36
26,08-26,21,33,0.3888888888888889,0.6111111111111112,-12
27,08-27,140,222,0.3867403314917127,0.6132596685082873,-82
28,08-28,759,815,0.4822109275730623,0.5177890724269377,-56
29,08-29,343,312,0.5236641221374045,0.4763358778625954,31
30,08-30,246,239,0.5072164948453608,0.4927835051546392,7
31,08-31,196,187,0.5117493472584856,0.48825065274151436,9
32,09-01,158,165,0.4891640866873065,0.5108359133126935,-7
33,09-02,32,36,0.47058823529411764,0.5294117647058824,-4
34,09-03,51,57,0.4722222222222222,0.5277777777777778,-6
35,09-04,124,114,0.5210084033613446,0.4789915966386555,10
